269,Domain Adaptation based Technique for Image Emotion Recognition using Image Captions,S2,Puneet Kumar,"Kumar, Puneet*; Raman, Balasubramanian"
271,Gesture recognition in sign language videos by tracking the position and medial representation of the hand shapes,S2,syroos zaboli,"zaboli, syroos*; Serov, Sergey"
272,Meta-tracking and Dominant Motion Patterns at the Macroscopic Crowd Level,S3,"Franjo Matković (FER)*; Slobodan Ribaric (University of Zagreb, FER)"
273,Digital Video Encryption by Quasigroup on System on Chip(SoC),S13,deepthi haridas,"Haridas, Deepthi ∗;Kiran,D Sree ;Patel, Shivi;K, Raghavendre;Venkatraman, Sarma ; Venkatraman, Raghu"
279,Clustering of writers and cluster dependent classifier selection for offline signature verification,S1,Annapurna H,"K S, MANJUNATHA; H, Annapurna*; Guru, Dr. D. S"
280,DeepDoT: Deep framework for detection of tables in document images,S7,mandhatya singh,"singh, mandhatya*; Goyal, Puneet"
281,Correcting Low Illumination Images using PSO-based Gamma Correction and Image Classifying Method,S4,Swadhin Das,"Das, Swadhin*; Roy, Manali; Mukhopadhyay, Sushanta"
286,Detection based Multipath Correlation Filter for Visual Object Tracking,S3,Himadri S Bhunia,"Bhunia, Himadri S*; Kanti, Alok; Mukherjee, Jayanta"
293,Evaluation of Auto-encoder Network with Photoacoustic Signal for Unsupervised Classification of Prostate Cancer,S8,Saugata Sinha,"Patil, Megha; Sinha, Saugata*"
296,Graph-based depth estimation in a monocular image using constrained 3D wireframe models,S9,H Pallab J Dutta,"Dutta, H Pallab J*; Bhuyan, M K"
297,DeblurRL: Image Deblurring with Deep Reinforcement Learning,S4,Pratik Narang,"Singhal, Jai; Narang, Pratik*"
299,An efficient approach for Skin Lesion Segmentation using Dermoscopic Images: A Deep Learning Approach,S8,Kishore Babu Nampalle,"Nampalle, Kishore Babu*; Raman, Balasubramanian"
301,FGrade: A large volume dataset for grading tomato freshness quality,S12,Sikha Das,"Das, Sikha*; Kar, Samarjit; Sekh, Arif Ahmed"
302,SigVer – A Deep Learning based Writer Independent Bangla Signature Verification System,S1,Sk Md Obaidullah,"Obaidullah, Sk Md*; Mukherjee, Himadri; Roy, Kaushik; Pal , Umapada"
307,Enhancement of Region of Interest from a Single Backlit Image with Multiple Features,S4,Chandra Mouli P.V.S.S.R.,"YADAV, GAURAV; Yadav, Dilip Kumar; P.V.S.S.R., Chandra Mouli*"
308,Real-time Sign Language Interpreter on Embedded Platform,S6,Himansh M Mulchandani,"Mulchandani, Himansh M*; Paunwala, Chirag"
309,Colorectal Cancer Segmentation using Atrous Convolution and Residual Enhanced UNet,S8,Nisarg A Shah,"Shah, Nisarg A*; Gupta, Divij; Baid, Ujjwal R; Lodaya, Romil; Talbar, Sanjay"
310,AE-CNN based Supervised Image Classifi cation,S9,Mani Chandra,"Chandra, Mani*; Reddy, Challa Muralidhar"
311,Ensemble based Graph Convolutional Network for Semi supervised learning,S9,RAKESH KUMAR YADAV,"YADAV, RAKESH KUMAR*; Moghili, Manikanta; SINGH, ABHISHEK; SHUKLA, PRASHANT; Verma, Shekhar"
314,Regularized Deep Convolutional Generative Adversarial Network,S9,ADARSH PRASAD BEHERA,"BEHERA, ADARSH PRASAD*; Godage, Sayli; Verma, Shekhar; Kumar, Manish"
316,A Novel Approach for Video Captioning based on Semantic Cross Embedding and Skip-Connection,S9,Nishanth Bandari,"Bandari, Nishanth*; Radarapu, Rakesh; Muthyam, Satwik; Naik, Dinesh"
320,Modified OTSU Method for Road Segmentation of Mobile Robots on Unstructured Roads,S10,Kethavath Raj Kumar,"Raj Kumar, Kethavath*; Panigrahi, Narayan"
321,Edge based Robust and Secure Perceptual Hashing Framework,S13,Satendra Pal Singh,"Singh, Satendra Pal*; Bhatnagar, Gaurav"
322,Real Time Driver Drowsiness Detection Using GRU with CNN Features,S9,Dhiraj Sangwan,"Sangwan, Dhiraj*; Srivastava, Ayush"
323,Complex Gradient Function based descriptor for iris biometrics and action recognition,S5,Rathnakara Shetty P,"Shekar, B H; Shetty P, Rathnakara*; Bhat, Sharada S"
326,Deep Learning Based Detection of Rhinoceros Beetle Infestation in Coconut Trees using Drone Imagery,S11,Atharva A Kadethankar,"Kadethankar, Atharva A*; Sinha, Neelam"
329,Detection of Concave Points in Closed Object Boundaries Aiming at Separation of Overlapped Objects,S10,Dr. Sanjoy Pratihar,"Mandal, Sourav; Bandyopadhyay, Dr. Oishila; Pratihar, Dr. Sanjoy*"
334,CROP CLASSIFICATION FROM UAV-BASED MULTI-SPECTRAL IMAGES USING DEEP LEARNING,S11,Sudarshan Rao B,"B, Sudarshan Rao*; Hota, Manjit; Kumar, Uttam"
335,On-Device Language Identification of Text in Images using Diacritic Characters,S6,Shubham Vatsal,"Vatsal, Shubham*; Arora, Nikhil; Jain, Dhruval; Ramena, Gopi; Purre, Naresh; Moharana, Sukumar"
339,High Performance Ensembled Convolutional Neural Network for Plant Species Recognition,S9,Anubha Pearline S,"Pearline S, Anubha*; Kumar V, Sathiesh"
348,A novel Face Print Spoof Detection using color scatter measures in HSI space,S1,Pooja Patil,"Patil, Pooja*; Kulkarni, Subhash"
349,A Pre-Processing Assisted Neural Network for Dynamic Bad Pixel Detection in Bayer Images,S4,Puneet Pandey,"Kalyanasundaram, Girish; Pandey, Puneet*; Hota, Manjit"
350,Face Recognition Using Sf3CNN With Higher Feature Discrimination,S2,Nayaneesh kumar Mishra,"Mishra, Nayaneesh kumar*; Singh, Satish Kumar"
351,Recognition of Online Handwritten Bangla and Devanagari Basic Characters: A TransferLearning Approach⋆,,Rajatsubhra Chakraborty1,
352,Image Solution of Stochastic Differential Equation of Diffusion Type Driven by Brownian Motion,S4,Dr. Himanshu Agarwal,"Pandey, Vikas Kumar; Agarwal, Dr. Himanshu*; Kumar Aggarwal, Amrish"
353,FingerPIN: An Authentication Mechanism Integrating Fingerprints and Personal Identification Numbers,S1,Emanuela Marasco,"Marasco, Emanuela*; Albanese, Massimiliano"
